Date : 2025-01-26 21:42:04
Directory : /Users/david/Desktop/Orbit
Total : 88 files,  17960 codes, 275 comments, 499 blanks, all 18734 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
Files
+----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                           | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/david/Desktop/Orbit/README.md                                                               | Markdown           |          1 |          0 |          1 |          2 |
| /Users/david/Desktop/Orbit/android/app/build.gradle                                                | Groovy             |         93 |         70 |         22 |        185 |
| /Users/david/Desktop/Orbit/android/app/src/debug/AndroidManifest.xml                               | XML                |          5 |          0 |          3 |          8 |
| /Users/david/Desktop/Orbit/android/app/src/main/AndroidManifest.xml                                | XML                |         36 |          0 |          0 |         36 |
| /Users/david/Desktop/Orbit/android/app/src/main/java/com/dovydmcnugget/orbit/MainActivity.kt       | kotlin             |         53 |          0 |          9 |         62 |
| /Users/david/Desktop/Orbit/android/app/src/main/java/com/dovydmcnugget/orbit/MainApplication.kt    | kotlin             |         46 |          0 |         12 |         58 |
| /Users/david/Desktop/Orbit/android/app/src/main/res/drawable/ic_launcher_background.xml            | XML                |          6 |          0 |          0 |          6 |
| /Users/david/Desktop/Orbit/android/app/src/main/res/drawable/rn_edit_text_material.xml             | XML                |         12 |         23 |          3 |         38 |
| /Users/david/Desktop/Orbit/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml              | XML                |          5 |          0 |          0 |          5 |
| /Users/david/Desktop/Orbit/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml        | XML                |          5 |          0 |          0 |          5 |
| /Users/david/Desktop/Orbit/android/app/src/main/res/values-night/colors.xml                        | XML                |          1 |          0 |          0 |          1 |
| /Users/david/Desktop/Orbit/android/app/src/main/res/values/colors.xml                              | XML                |          6 |          0 |          0 |          6 |
| /Users/david/Desktop/Orbit/android/app/src/main/res/values/strings.xml                             | XML                |          3 |          0 |          0 |          3 |
| /Users/david/Desktop/Orbit/android/app/src/main/res/values/styles.xml                              | XML                |         17 |          0 |          0 |         17 |
| /Users/david/Desktop/Orbit/android/build.gradle                                                    | Groovy             |         45 |          5 |          7 |         57 |
| /Users/david/Desktop/Orbit/android/gradle.properties                                               | Properties         |         11 |         33 |         13 |         57 |
| /Users/david/Desktop/Orbit/android/gradle/wrapper/gradle-wrapper.properties                        | Properties         |          7 |          0 |          1 |          8 |
| /Users/david/Desktop/Orbit/android/gradlew.bat                                                     | Batch              |         41 |         32 |         22 |         95 |
| /Users/david/Desktop/Orbit/android/settings.gradle                                                 | Groovy             |         33 |          0 |          6 |         39 |
| /Users/david/Desktop/Orbit/app.config.ts                                                           | TypeScript         |         44 |          0 |          2 |         46 |
| /Users/david/Desktop/Orbit/app.json                                                                | JSON with Comments |         31 |          0 |          1 |         32 |
| /Users/david/Desktop/Orbit/app/(app)/(chat)/[id].tsx                                               | TypeScript JSX     |         41 |          0 |          7 |         48 |
| /Users/david/Desktop/Orbit/app/(app)/(chat)/_layout.tsx                                            | TypeScript JSX     |         13 |          0 |          2 |         15 |
| /Users/david/Desktop/Orbit/app/(app)/(chat)/index.tsx                                              | TypeScript JSX     |         48 |          0 |          7 |         55 |
| /Users/david/Desktop/Orbit/app/(app)/(create)/_layout.tsx                                          | TypeScript JSX     |         13 |          0 |          2 |         15 |
| /Users/david/Desktop/Orbit/app/(app)/(create)/index.tsx                                            | TypeScript JSX     |         10 |          0 |          2 |         12 |
| /Users/david/Desktop/Orbit/app/(app)/(home)/_layout.tsx                                            | TypeScript JSX     |         13 |          0 |          2 |         15 |
| /Users/david/Desktop/Orbit/app/(app)/(home)/index.tsx                                              | TypeScript JSX     |         10 |          0 |          2 |         12 |
| /Users/david/Desktop/Orbit/app/(app)/(map)/_layout.tsx                                             | TypeScript JSX     |         13 |          0 |          2 |         15 |
| /Users/david/Desktop/Orbit/app/(app)/(map)/index.tsx                                               | TypeScript JSX     |        168 |          5 |         18 |        191 |
| /Users/david/Desktop/Orbit/app/(app)/(profile)/[id]/index.tsx                                      | TypeScript JSX     |        222 |          3 |         21 |        246 |
| /Users/david/Desktop/Orbit/app/(app)/(profile)/_layout.tsx                                         | TypeScript JSX     |         32 |          0 |          2 |         34 |
| /Users/david/Desktop/Orbit/app/(app)/(profile)/index.tsx                                           | TypeScript JSX     |        160 |          7 |         14 |        181 |
| /Users/david/Desktop/Orbit/app/(app)/_layout.tsx                                                   | TypeScript JSX     |         38 |          2 |          5 |         45 |
| /Users/david/Desktop/Orbit/app/(app)/onboarding.tsx                                                | TypeScript JSX     |        169 |          5 |         18 |        192 |
| /Users/david/Desktop/Orbit/app/(auth)/(onboarding)/_layout.tsx                                     | TypeScript JSX     |         22 |          0 |          3 |         25 |
| /Users/david/Desktop/Orbit/app/(auth)/(onboarding)/index.tsx                                       | TypeScript JSX     |         54 |          0 |         11 |         65 |
| /Users/david/Desktop/Orbit/app/(auth)/_layout.tsx                                                  | TypeScript JSX     |         32 |          1 |          2 |         35 |
| /Users/david/Desktop/Orbit/app/(auth)/reset-password.tsx                                           | TypeScript JSX     |        130 |          7 |         12 |        149 |
| /Users/david/Desktop/Orbit/app/(auth)/sign-in.tsx                                                  | TypeScript JSX     |        183 |         10 |         15 |        208 |
| /Users/david/Desktop/Orbit/app/(auth)/sign-up.tsx                                                  | TypeScript JSX     |        236 |          9 |         20 |        265 |
| /Users/david/Desktop/Orbit/app/_layout.tsx                                                         | TypeScript JSX     |         87 |          1 |          5 |         93 |
| /Users/david/Desktop/Orbit/app/index.tsx                                                           | TypeScript JSX     |        218 |          6 |         24 |        248 |
| /Users/david/Desktop/Orbit/babel.config.js                                                         | JavaScript         |         13 |          0 |          0 |         13 |
| /Users/david/Desktop/Orbit/components.json                                                         | JSON               |          6 |          0 |          0 |          6 |
| /Users/david/Desktop/Orbit/hooks/useFollow.ts                                                      | TypeScript         |        175 |          7 |         24 |        206 |
| /Users/david/Desktop/Orbit/hooks/useUserData.ts                                                    | TypeScript         |        102 |          6 |         17 |        125 |
| /Users/david/Desktop/Orbit/index.ts                                                                | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/david/Desktop/Orbit/ios/Orbit/AppDelegate.h                                                 | Objective-C++      |          5 |          0 |          3 |          8 |
| /Users/david/Desktop/Orbit/ios/Orbit/AppDelegate.mm                                                | Objective-C++      |         42 |          7 |         14 |         63 |
| /Users/david/Desktop/Orbit/ios/Orbit/Images.xcassets/AppIcon.appiconset/Contents.json              | JSON               |         14 |          0 |          0 |         14 |
| /Users/david/Desktop/Orbit/ios/Orbit/Images.xcassets/Contents.json                                 | JSON               |          6 |          0 |          1 |          7 |
| /Users/david/Desktop/Orbit/ios/Orbit/Images.xcassets/SplashScreenBackground.colorset/Contents.json | JSON               |         20 |          0 |          0 |         20 |
| /Users/david/Desktop/Orbit/ios/Orbit/Orbit-Bridging-Header.h                                       | Objective-C++      |          0 |          3 |          1 |          4 |
| /Users/david/Desktop/Orbit/ios/Orbit/SplashScreen.storyboard                                       | XML                |         34 |          0 |          0 |         34 |
| /Users/david/Desktop/Orbit/ios/Orbit/main.m                                                        | Objective-C        |          7 |          0 |          4 |         11 |
| /Users/david/Desktop/Orbit/ios/Orbit/noop-file.swift                                               | Swift              |          0 |          4 |          1 |          5 |
| /Users/david/Desktop/Orbit/ios/Podfile                                                             | Ruby               |         56 |          9 |         12 |         77 |
| /Users/david/Desktop/Orbit/ios/Podfile.properties.json                                             | JSON               |          5 |          0 |          1 |          6 |
| /Users/david/Desktop/Orbit/metro.config.js                                                         | JavaScript         |          4 |          0 |          2 |          6 |
| /Users/david/Desktop/Orbit/nativewind-env.d.ts                                                     | TypeScript         |          0 |          1 |          1 |          2 |
| /Users/david/Desktop/Orbit/package-lock.json                                                       | JSON               |     14,111 |          0 |          1 |     14,112 |
| /Users/david/Desktop/Orbit/package.json                                                            | JSON               |         59 |          0 |          1 |         60 |
| /Users/david/Desktop/Orbit/src/components/ThemeProvider.tsx                                        | TypeScript JSX     |         49 |          1 |          9 |         59 |
| /Users/david/Desktop/Orbit/src/components/map/MapControls.tsx                                      | TypeScript JSX     |        111 |          4 |         10 |        125 |
| /Users/david/Desktop/Orbit/src/components/shared/TabBar.tsx                                        | TypeScript JSX     |         46 |          2 |          7 |         55 |
| /Users/david/Desktop/Orbit/src/components/topics/TopicList.tsx                                     | TypeScript JSX     |         69 |          0 |         10 |         79 |
| /Users/david/Desktop/Orbit/src/components/ui/avatar.tsx                                            | TypeScript JSX     |         37 |          0 |          5 |         42 |
| /Users/david/Desktop/Orbit/src/components/ui/button.tsx                                            | TypeScript JSX     |         87 |          0 |          6 |         93 |
| /Users/david/Desktop/Orbit/src/components/ui/card.tsx                                              | TypeScript JSX     |         48 |          0 |          8 |         56 |
| /Users/david/Desktop/Orbit/src/components/ui/input.tsx                                             | TypeScript JSX     |         22 |          0 |          4 |         26 |
| /Users/david/Desktop/Orbit/src/components/ui/label.tsx                                             | TypeScript JSX     |         25 |          0 |          3 |         28 |
| /Users/david/Desktop/Orbit/src/components/ui/separator.tsx                                         | TypeScript JSX     |         20 |          0 |          3 |         23 |
| /Users/david/Desktop/Orbit/src/components/ui/text.tsx                                              | TypeScript JSX     |         21 |          0 |          4 |         25 |
| /Users/david/Desktop/Orbit/src/lib/auth.tsx                                                        | TypeScript JSX     |         41 |          2 |         10 |         53 |
| /Users/david/Desktop/Orbit/src/lib/chat.tsx                                                        | TypeScript JSX     |         64 |          3 |         12 |         79 |
| /Users/david/Desktop/Orbit/src/lib/constants.ts                                                    | TypeScript         |         18 |          0 |          1 |         19 |
| /Users/david/Desktop/Orbit/src/lib/icons/MoonStar.tsx                                              | TypeScript JSX     |          4 |          0 |          1 |          5 |
| /Users/david/Desktop/Orbit/src/lib/icons/Sun.tsx                                                   | TypeScript JSX     |          4 |          0 |          1 |          5 |
| /Users/david/Desktop/Orbit/src/lib/icons/iconWithClassName.ts                                      | TypeScript         |         13 |          0 |          2 |         15 |
| /Users/david/Desktop/Orbit/src/lib/mapbox.ts                                                       | TypeScript         |          4 |          1 |          3 |          8 |
| /Users/david/Desktop/Orbit/src/lib/stream.ts                                                       | TypeScript         |         40 |          5 |          6 |         51 |
| /Users/david/Desktop/Orbit/src/lib/supabase.js                                                     | JavaScript         |         17 |          0 |          3 |         20 |
| /Users/david/Desktop/Orbit/src/lib/useColorScheme.tsx                                              | TypeScript JSX     |         11 |          0 |          2 |         13 |
| /Users/david/Desktop/Orbit/src/lib/utils.ts                                                        | TypeScript         |          5 |          0 |          2 |          7 |
| /Users/david/Desktop/Orbit/src/styles/global.css                                                   | CSS                |         58 |          0 |          3 |         61 |
| /Users/david/Desktop/Orbit/tailwind.config.js                                                      | JavaScript         |         63 |          1 |          1 |         65 |
| /Users/david/Desktop/Orbit/tsconfig.json                                                           | JSON with Comments |         10 |          0 |          1 |         11 |
| Total                                                                                              |                    |     17,960 |        275 |        499 |     18,734 |
+----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
